timestamp,question_id,question,pipeline_type,ontology_attributes_count,ontology_relationships_count,aql_results_length,structured_context_length,refinement_prompt_length,refined_context_length,refined_context_tokens,context_within_target_range,generation_input_length,final_answer_length,processing_time,ontology_time,refinement_time,generation_time,success_status,error_message,notes
2026-03-21T21:54:33.772897,1,How do the accuracy and resolution of LIDAR-based measurements compare to radar-based measurements f...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.95,3.55,0.00,0.40,success,,Refined pipeline with no relationships
2026-03-21T21:54:45.670400,2,What is LIDAR and how does it measure the properties of distant targets?,1_pass_with_ontology,4,0,0,0,0,0,0,False,22,33,11.90,10.51,0.00,1.38,success,,Refined pipeline with no relationships
2026-03-21T21:54:49.107923,3,How does the wavelength of light influence the accuracy of distance measurements in LIDAR systems?,1_pass_with_ontology,4,0,0,0,0,0,0,False,22,33,3.44,3.15,0.00,0.28,success,,Refined pipeline with no relationships
2026-03-21T21:55:03.870275,4,What is the relationship between LIDAR sensor characteristics and the accuracy of range measurements...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,14.76,14.43,0.00,0.33,success,,Refined pipeline with no relationships
2026-03-21T21:55:17.656897,5,How do variations in groundwater chemistry influence the quality of surface water systems during sea...,1_pass_with_ontology,6,0,0,0,0,0,0,False,22,33,13.79,13.46,0.00,0.32,success,,Refined pipeline with no relationships
2026-03-21T21:55:21.518631,6,How do the chemical characteristics of groundwater compare to those of surface water in regions infl...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.86,3.21,0.00,0.65,success,,Refined pipeline with no relationships
2026-03-21T21:55:25.199348,7,What is the role of groundwater in the terrestrial hydrosphere?,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.68,3.27,0.00,0.41,success,,Refined pipeline with no relationships
2026-03-21T21:55:28.524165,8,How does groundwater contamination influence the chemical characteristics of nearby surface water sy...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.32,2.84,0.00,0.48,success,,Refined pipeline with no relationships
2026-03-21T21:55:32.868288,9,What is the relationship between groundwater chemical composition and the melting rate of nearby gla...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,4.34,3.93,0.00,0.42,success,,Refined pipeline with no relationships
2026-03-21T21:55:37.219603,10,How do variations in ocean circulation patterns influence the spatial distribution of key chemical c...,1_pass_with_ontology,6,0,0,0,0,0,0,False,22,33,4.35,4.07,0.00,0.28,success,,Refined pipeline with no relationships
2026-03-21T21:55:40.753859,11,How do the effectiveness and accuracy of different methodologies for measuring ocean circulation pat...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.53,3.07,0.00,0.47,success,,Refined pipeline with no relationships
2026-03-21T21:55:44.917175,12,How does ocean circulation influence the distribution of chemical constituents in seawater?,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,4.16,3.86,0.00,0.30,success,,Refined pipeline with no relationships
2026-03-21T21:55:48.867074,13,What is the relationship between ocean circulation patterns and the distribution of chemical constit...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.95,3.67,0.00,0.28,success,,Refined pipeline with no relationships
